"";"x"
"RAMP_UP_1ST_1";28
"RAMP_UP_1ST_2";28
"RAMP_UP_1ST_3";28
"DELAY_EFFECT_1";56
"DELAY_EFFECT_2";56
"DELAY_EFFECT_3";56
"RAMP_UP_2ND_1";14
"RAMP_UP_2ND_2";14
"RAMP_UP_2ND_3";14
"VACCINE_EFF_1ST_1_Ia";0.55
"VACCINE_EFF_1ST_1_I";0.71
"VACCINE_EFF_1ST_1_S";0.78
"VACCINE_EFF_1ST_1_D";0.84
"VACCINE_EFF_1ST_1_V";0.35
"VACCINE_EFF_2ND_1_Ia";0.77
"VACCINE_EFF_2ND_1_I";0.91
"VACCINE_EFF_2ND_1_S";0.94
"VACCINE_EFF_2ND_1_D";0.94
"VACCINE_EFF_2ND_1_V";0.35
"VACCINE_EFF_1ST_2_Ia";0.55
"VACCINE_EFF_1ST_2_I";0.71
"VACCINE_EFF_1ST_2_S";0.78
"VACCINE_EFF_1ST_2_D";0.84
"VACCINE_EFF_1ST_2_V";0.35
"VACCINE_EFF_2ND_2_Ia";0.77
"VACCINE_EFF_2ND_2_I";0.91
"VACCINE_EFF_2ND_2_S";0.94
"VACCINE_EFF_2ND_2_D";0.94
"VACCINE_EFF_2ND_2_V";0.35
"VACCINE_EFF_1ST_3_Ia";0.55
"VACCINE_EFF_1ST_3_I";0.71
"VACCINE_EFF_1ST_3_S";0.78
"VACCINE_EFF_1ST_3_D";0.84
"VACCINE_EFF_1ST_3_V";0.35
"VACCINE_EFF_2ND_3_Ia";0.77
"VACCINE_EFF_2ND_3_I";0.91
"VACCINE_EFF_2ND_3_S";0.94
"VACCINE_EFF_2ND_3_D";0.94
"VACCINE_EFF_2ND_3_V";0.35
